Epoch,Temp C,Humidity %,Pressure mB
1761262808,28.05,50.45605,1010.97369
1761262838,28.02,50.66016,1010.94763
1761262868,28.02,50.69434,1010.94421
1761262898,28.17,50.43555,1010.98401
1761262928,28.09,50.33496,1010.95685
1761262958,28.04,50.44336,1010.96997
1761262988,28.08,50.50684,1010.95892
1761263018,28.06,50.6416,1010.96912
1761263048,28.06,50.69824,1010.98669
1761263078,28.08,50.71191,1010.97217
1761263108,28.12,50.5791,1010.98737
1761263138,28.16,50.57227,1011.05713
1761263168,28.09,50.71289,1011.08374
1761263198,27.99,50.95508,1011.04767
1761263228,28.03,50.82227,1011.04919
1761263258,27.92,51.1084,1011.05048
1761263288,28.01,51.03809,1011.06757
1761263318,28.1,50.89941,1011.05798
1761263348,28.26,50.48047,1011.03345
1761263378,28.2,50.55469,1011.00952
1761263408,28.19,50.58691,1010.95538
1761263438,28.18,50.66602,1010.97107
1761263468,28.29,50.36719,1010.92389
1761263498,28.35,50.25977,1010.85297
1761263528,28.24,50.48926,1010.82501
1761263558,28.24,50.61523,1010.79626
1761263588,28.27,50.6416,1010.82312
1761263618,28.32,50.49902,1010.81873
1761263648,28.34,50.43066,1010.81744
1761263678,28.34,50.39648,1010.79639
1761263708,28.36,50.33008,1010.77875
1761263738,28.43,50.1875,1010.77264
1761263768,28.39,50.36816,1010.79022
1761263798,28.41,50.3125,1010.78265
1761263828,28.34,50.46484,1010.78589
1761263858,28.41,50.34668,1010.77142
1761263888,28.32,50.37109,1010.7428
1761263918,28.35,50.39844,1010.74109
1761263948,28.38,50.30957,1010.73578
1761263978,28.33,50.41797,1010.72638
1761264008,28.37,50.31934,1010.6922
1761264038,28.33,50.50977,1010.711
1761264068,28.32,50.59082,1010.71735
1761264098,28.33,50.49902,1010.72998
1761264128,28.29,50.44727,1010.68188
1761264158,28.39,50.27539,1010.74042
1761264188,28.29,50.31055,1010.73352
1761264218,28.2,50.47363,1010.73273
1761264248,28.24,50.5918,1010.77295
1761264278,28.29,50.43555,1010.6889
1761264308,28.34,50.41895,1010.70685
1761264338,28.34,50.48926,1010.71326
1761264368,28.41,50.2207,1010.64935
1761264398,28.42,50.15332,1010.67188
1761264428,28.37,50.16895,1010.66376
1761264458,28.3,50.3457,1010.65045
1761264488,28.2,50.47363,1010.62018
1761264518,28.16,50.59473,1010.64752
1761264548,28.24,50.58105,1010.58643
1761264578,28.21,50.63477,1010.5686
1761264608,28.19,50.62109,1010.53094
1761264638,28.21,50.76074,1010.56689
1761264668,28.2,50.71484,1010.54327
1761264698,28.19,50.8291,1010.50671
1761264728,28.27,50.73242,1010.48938
1761264758,28.32,50.69434,1010.46997
1761264788,28.35,50.65137,1010.50873
1761264818,28.21,50.73926,1010.45563
1761264848,28.32,50.64844,1010.41553
1761264878,28.39,50.5752,1010.40002
1761264908,28.47,50.35352,1010.40314
1761264938,28.47,50.42285,1010.3645
1761264968,28.44,50.53516,1010.38843
1761264998,28.44,50.4541,1010.41693
1761265028,28.38,50.55078,1010.36102
1761265058,28.48,50.43555,1010.3808
1761265088,28.51,50.2666,1010.35712
1761265118,28.52,50.31445,1010.3551
1761265148,28.53,50.19922,1010.32782
1761265178,28.49,50.40234,1010.35376
1761265208,28.5,50.35742,1010.3714
1761265240,28.4,50.47266,1010.37555
1761265270,28.43,50.45215,1010.35229
1761265300,28.47,50.42285,1010.28375
1761265330,28.51,50.33496,1010.24408
1761265360,28.56,50.23633,1010.26862
1761265390,28.58,50.23926,1010.23053
1761265420,28.61,50.08105,1010.2774
1761265450,28.64,50.15332,1010.26611
1761265480,28.58,50.18164,1010.2442
1761265510,28.65,50.21289,1010.23706
1761265540,28.58,50.21582,1010.23468
1761265570,28.56,50.3291,1010.17737
1761265600,28.53,50.31445,1010.1579
1761265630,28.58,50.35352,1010.09998
1761265660,28.65,50.16699,1010.13
1761265690,28.6,50.33301,1010.09515
1761265720,28.71,50.19629,1010.13312
1761265750,28.71,50.12695,1010.15698
1761265780,28.78,49.93848,1010.11108
1761265810,28.81,49.82812,1010.06451
1761265840,28.84,49.71582,1010.10999
1761265870,28.74,50.08398,1010.02448
1761265900,28.79,50.05469,1010.10516
1761265930,28.78,49.84668,1010.02155
1761265960,28.8,49.83691,1009.99078
1761265990,28.81,49.72266,1009.97815
1761266020,28.85,49.61426,1010.01318
1761266050,28.83,49.61133,1010.01172
1761266080,28.86,49.64844,1009.98547
1761266110,28.9,49.6416,1009.93756
1761266140,28.96,49.52148,1009.88104
1761266170,28.98,49.49023,1009.90356
1761266200,28.95,49.66992,1009.90546
1761266230,28.97,49.51074,1009.87158
1761266260,29.02,49.43555,1009.89954
1761266290,28.88,49.29395,1009.883
1761266320,28.94,49.41602,1009.79376
1761266350,28.98,49.45508,1009.80664
1761266380,29.01,49.49219,1009.82782
1761266410,29.03,49.37988,1009.80829
1761266440,28.99,49.58203,1009.83264
1761266470,29.05,49.47363,1009.80835
1761266500,29.07,49.44141,1009.84003
1761266530,29.04,49.50684,1009.81464
1761266560,29.13,49.35547,1009.78589
1761266590,29.2,49.24805,1009.78046
1761266620,29.17,49.37109,1009.81024
1761266650,29.17,49.24414,1009.83655
1761266680,29.08,49.25781,1009.78076
1761266710,29.15,49.19531,1009.7511
1761266740,29.17,49.13086,1009.78497
1761266770,29.13,49.22852,1009.74188
1761266800,29.08,49.24609,1009.76813
1761266830,29.1,49.3291,1009.74042
1761266860,29.14,49.40332,1009.73279
1761266890,29.17,49.25684,1009.69641
1761266920,29.22,49.13477,1009.6861
1761266950,29.23,49.21777,1009.70929
1761266980,29.15,49.27734,1009.6886
1761267010,29.18,49.25781,1009.60193
1761267040,29.24,49.0918,1009.62219
1761267070,29.27,49.17383,1009.61877
1761267100,29.28,49.10742,1009.57526
1761267130,29.26,48.9668,1009.57233
1761267160,29.12,49.33105,1009.51703
1761267190,29.21,49.34082,1009.51562
1761267220,29.17,49.37109,1009.57312
1761267250,29.12,49.26172,1009.5553
1761267280,29.13,49.30859,1009.54346
1761267310,29.18,49.31543,1009.50464
1761267340,29.22,49.36523,1009.5174
1761267370,29.23,49.28613,1009.49323
1761267400,29.33,49.13477,1009.4942
1761267430,29.33,49.18066,1009.48193
1761267460,29.34,49.14746,1009.43909
1761267490,29.36,49.03516,1009.43921
1761267520,29.38,49.03613,1009.4519
1761267550,29.44,48.95215,1009.38165
1761267580,29.46,48.96582,1009.3476
1761267610,29.4,48.84277,1009.35315
1761267640,29.45,48.90625,1009.36548
1761267670,29.51,48.79688,1009.34003
1761267700,29.53,48.75293,1009.32373
1761267730,29.51,48.82031,1009.33923
1761267760,29.51,48.60156,1009.36877
1761267790,29.51,48.58887,1009.36279
1761267820,29.53,48.82227,1009.37866
1761267850,29.52,48.84473,1009.37408
1761267880,29.54,48.77734,1009.32874
1761267910,29.6,48.55371,1009.36578
1761267940,29.54,48.67383,1009.35193
1761267970,29.55,48.44336,1009.39734
1761268000,29.49,48.63379,1009.3606
1761268030,29.55,48.63965,1009.39697
1761268060,29.51,48.49707,1009.33014
1761268090,29.55,48.77832,1009.28314
1761268120,29.61,48.62402,1009.27222
1761268150,29.6,48.63379,1009.25812
1761268180,29.59,48.58594,1009.2395
1761268210,29.61,48.62305,1009.23602
1761268242,29.68,48.46875,1009.1936
1761268272,29.69,48.40039,1009.16333
1761268302,29.67,48.53613,1009.20935
1761268332,29.78,48.20312,1009.18628
1761268362,29.73,48.09375,1009.13593
1761268392,29.78,48.16797,1009.1181
1761268422,29.8,48.03125,1009.15356
1761268452,29.76,48.16602,1009.10852
1761268482,29.75,48.14258,1009.05188
1761268512,29.78,48.17969,1009.04175
1761268542,29.81,48.22852,1009.0144
1761268572,29.8,48.2627,1009.03406
1761268602,29.92,48.0791,1008.93939
1761268632,29.83,48.3125,1008.99811
1761268662,29.89,48.21484,1008.93091
1761268692,29.89,48.08789,1009.02594
1761268722,29.96,47.97852,1008.97693
1761268752,29.97,48.06152,1008.98749
1761268782,29.98,47.98047,1008.97937
1761268812,29.99,47.79785,1009.0094
1761268842,30.02,47.82422,1008.9892
1761268872,30,47.87988,1009.0022
1761268902,30.01,47.99609,1008.97546
1761268932,30.01,47.89258,1009.03564
1761268962,29.85,47.83008,1008.94781
1761268992,29.85,48.04883,1008.95453
1761269022,29.85,47.7373,1009.00232
1761269052,29.79,48.06543,1008.98547
1761269082,29.84,47.89844,1008.93799
1761269112,29.87,48.08594,1008.90283
1761269142,29.9,48.06641,1008.94641
1761269172,29.94,47.93066,1009.00232
1761269202,29.94,48.03418,1009.01611
1761269232,29.97,47.93457,1008.96783
1761269262,29.99,48.03027,1008.93469
1761269292,30.02,48.06738,1008.94415
1761269322,30.02,48.04395,1008.91602
1761269352,30.08,47.99121,1008.8808
1761269382,30.11,47.83496,1008.89307
1761269412,30.11,47.82227,1008.83954
1761269442,30.13,47.74414,1008.84479
1761269472,30.17,47.77051,1008.823
1761269502,30.18,47.70312,1008.88342
1761269532,30.05,47.82715,1008.82422
1761269562,30.04,47.95312,1008.80688
1761269592,30.1,47.79785,1008.78357
1761269622,30.1,47.70605,1008.82202
1761269652,30.15,47.75684,1008.80811
1761269682,30.18,47.67871,1008.82428
1761269712,30.08,47.72559,1008.82794
1761269742,30.1,47.63672,1008.77203
1761269772,30.1,47.65918,1008.81915
1761269802,30.09,47.68164,1008.85156
1761269832,30.18,47.64453,1008.86194
1761269862,30.18,47.61035,1008.87982
1761269892,30.19,47.53027,1008.85065
1761269922,30.22,47.44043,1008.79431
1761269952,30.17,47.62012,1008.76556
1761269982,30.19,47.78418,1008.75708
1761270012,30.23,47.6377,1008.77112
1761270042,30.25,47.66211,1008.68408
1761270072,30.24,47.70898,1008.71155
1761270102,30.31,47.51953,1008.68188
1761270132,30.35,47.43066,1008.68213
1761270162,30.23,47.39551,1008.6521
1761270192,30.18,47.45996,1008.67938
1761270222,30.21,47.37012,1008.69507
1761270252,30.21,47.41699,1008.65076
1761270282,30.09,47.83203,1008.65094
1761270312,30.15,47.82617,1008.62695
1761270342,30.22,47.76465,1008.64655
1761270372,30.25,47.79004,1008.66302
1761270402,30.26,47.6875,1008.65002
1761270432,30.27,47.56152,1008.66296
1761270462,30.28,47.55176,1008.63623
1761270492,30.31,47.57617,1008.66046
1761270522,30.33,47.50977,1008.58643
1761270552,30.29,47.55273,1008.53552
1761270582,30.29,47.5752,1008.57532
1761270612,30.21,47.72852,1008.60187
1761270642,30.27,47.5498,1008.56061
1761270672,30.34,47.55762,1008.52307
1761270702,30.32,47.77539,1008.50763
1761270732,30.33,47.76367,1008.5365
1761270762,30.4,47.65527,1008.47186
1761270792,30.42,47.54297,1008.52142
1761270822,30.44,47.54492,1008.52594
1761270852,30.44,47.5791,1008.47314
1761270882,30.43,47.76367,1008.45416
1761270912,30.42,47.82031,1008.45453
1761270942,30.44,47.77637,1008.43408
1761270972,30.48,47.62988,1008.44977
1761271002,30.51,47.60938,1008.43976
1761271032,30.57,47.58105,1008.48523
1761271062,30.63,47.51758,1008.49487
1761271092,30.62,47.38965,1008.51282
1761271122,30.61,47.44629,1008.48358
1761271152,30.62,47.5625,1008.4826
1761271182,30.68,47.25781,1008.47144
1761271212,30.66,47,1008.47046
1761271244,30.7,47.07422,1008.44806
1761271274,30.71,47.22461,1008.44342
1761271304,30.63,46.70898,1008.41803
1761271334,30.64,46.90527,1008.43109
